ENCANTADOR | INSOPORTABLE
INFRAVALORADO | SOBREVALORADO
PERDONABLE | IMPERDONABLE
ORGULLO | VERGÜENZA
GUAY | RIDÍCULO
CON ESTILO | HORTERA
NORMAL | RARO
EDUCADO | BORDE
DIVERTIDO | SOSO
ADULTO | INFANTIL
EFICIENTE | VAGO
SEGURIDAD | CHULERÍA
AHORRADOR | AGARRADO
GENEROSO | POSTUREO
VALIENTE | INCONSCIENTE
PRUDENTE | COBARDE
ORIGINAL | FRIKI
AUTOCUIDADO | EGOÍSMO
SANO | TRISTE
TRADICIÓN | ANTIGUALLA
ROMÁNTICO | EMPALAGOSO
AMABLE | LIGANDO
IRONÍA | MALA LECHE
SINCERO | BOCAZAS
LISTO | LISTILLO
ENTREGADO | ENGANCHADO
AMBICIÓN | AVARICIA
BUENA GENTE | PRIMO
PROFUNDO | PEDANTE
CLÁSICO | ANTICUADO
ACOGEDOR | AGOBIANTE
CAMPECHANO | BASTO
DESORDENADO | GUARRO
LIMPIO | MANIÁTICO
ESPONTÁNEO | CAÓTICO
ORGANIZADO | RÍGIDO
TRANQUILO | PASOTA
CENA | PICOTEO
DESAYUNO | POSTRE
VALE LA PENA | UN ROBO
GANGA | TIMO
NECESIDAD | CAPRICHO
CERCANO | CONFIANZUDO
AMIGO | CONOCIDO
CITA | QUEDADA
INOCENTE | INFIDELIDAD
ERROR | DELITO
MENTIRIJILLA | TRAICIÓN
BUENA SEÑAL | MALA SEÑAL
CUQUI | REPELENTE
ARREGLADO | DISFRAZADO
ENTRAÑABLE | PESADO
ÚTIL | ADICTIVO
PICARDÍA | ESTAFA
AUTÉNTICO | DE GUIRIS
VIAJERO | TURISTA
VOCACIÓN | EXPLOTACIÓN
PASIÓN | SUELDO
MÚSICA | RUIDO
ARTE | VANDALISMO
DEPORTE | JUEGO
COCINAR | CALENTAR
LEER | HACER TRAMPA
EJERCICIO | PASEO
TRABAJAR | PROCRASTINAR
URGENTE | PUEDE ESPERAR
HABILIDAD | SUERTE
TALENTO | PRÁCTICA
HECHO | OPINIÓN
CIENCIA | SUPERSTICIÓN
POSIBLE | CONSPIRANOIA
RECUERDO | TRASTO
CÓMODO | DEJADO
AHORRA TIEMPO | PIERDE TIEMPO
COMPARTIR | PRESUMIR
DESAHOGARSE | QUEJARSE
CURIOSO | COTILLA
INFORMARSE | ESPIAR
CUMPLIDO | PULLA
CONSEJO | SERMÓN
AYUDAR | METERSE
CARIÑO | AGOBIO
CONSTANTE | CABEZOTA
SERVICIAL | PELOTA
COLECCIÓN | DIÓGENES
AFICIÓN | OBSESIÓN
FIESTA | DESFASE
FRESQUITO | CONGELADOR
PLACER | VICIO
SUEÑO | DELIRIO
REALISTA | AGONÍAS
OPTIMISTA | INGENUO
PREVISOR | NO VIVIR
RELAJANTE | ABURRIDO
SOBREMESA | SECUESTRO
GRACIOSO | CANSINO
COMESTIBLE | A LA BASURA
APAÑADO | CHAPUZA
FAMILIA | OBLIGACIÓN
INVITAR | RATA
JUSTICIA | VENGANZA
NORMA | SUGERENCIA
SOLIDARIO | PRINGADO
ILUSIONADO | DESESPERADO
MAJO | FALSO
FAVOR | MARRÓN
PICANTE | DOLOR
RIQUÍSIMO | ASQUEROSO
VINO | REFRESCO
RÚSTICO | ROTO
VINTAGE | CASPOSO
LÍDER | MANDÓN
CRÍTICA | ATAQUE
AMOR | ESPECTÁCULO
DESCANSO | VAGANCIA
CON ENCANTO | CUTRE
ELEGANTE | PIJO
BROMA | PASARSE
SABIDURÍA | CUÑADISMO
MODERNO | DE BARRIO
