# BLIND SHEET. For each pair, which clue would FEWER groups of
# four ordinary internationally-mixed adults answer correctly,
# spoken aloud, 20 seconds, no options? That one is HARDER.
# Write A or B, or TIE when you genuinely cannot separate them.
# Ratings, levels, question ids and the band are deliberately absent.
pair	A_clue	A_answer	B_clue	B_answer
P001	In 1739, to stem counterfeiting, he used his Philadelphia printing office to produce notes with a raised leaf pattern	Franklin	A red maple leaf on a white background adorns its flag	Canada
P002	The male of this bird is sometimes called a gobbler	turkey	The "Good" in the name of this holiday is probably a corruption of "God's"	Good Friday
P003	"Leaves" made of this sweet often top the familiar mousse of the same flavor	chocolate	Touching off the "War of the Oranges", Spain declared war on this neighbor on March 2, 1801	Portugal
P004	Wamba is a brave jester who risks his life to save his master Cedric in this Sir Walter Scott novel	Ivanhoe	At 601,928 sq. miles Amazonas is this country's largest state	Brazil
P005	Scholars think John Hunter, an 18th c. London surgeon known as "The Knife Man", inspired this R.L. Stevenson guy	Dr. Jekyll	The Paracel Islands are claimed by Vietnam but are administered by this northern neighbor	China
P006	This cat feature comes in 3 basic types: round, almond-shaped & slanted	eyes	Absent 20 years, he was thought dead so men headed to Ithaca to woo his wife, Penelope	Odysseus
P007	The largest lake in this South American country is a reservoir, W.J. Van Blommestein Lake	Suriname	Located 60 miles from the mainland, it's Greece's largest island	Crete
P008	The decimal numbering system uses this number as its base	10	Calculus was developed independently by Gottfried Leibniz & this British scientist	Newton
P009	It was he who finally freed Prometheus from the rock to which he was chained	Hercules	Tennessee Williams based this play on his short story "Portrait of a Girl in Glass"	Glass Menagerie
P010	Kenneth Branagh & Emma Thompson played Benedick & Beatrice in the 1993 film version of this comedy	Much Ado About Nothing	Her "Another Part of the Forest" tells the earlier history of the family featured in her "Little Foxes"	Lillian Hellman
P011	"Every murderer is probably somebody's old friend" she wrote in her 1st Hercule Poirot novel	Agatha Christie	"Jo's Boys" was her second sequel to "Little Women"	Louisa May Alcott
P012	Though this 20-year-old may have resented his father Philip II, he took no part in his murder	Alexander the Great	The basin of this river covers almost 40% of South America	Amazon
P013	Some believe Edward de Vere, the 17th Earl of Oxford, used this pen name for his poems & plays	Shakespeare	Cornelia Meigs' book "Invincible Louisa" told the story of this 19th c. author	Louisa May Alcott
P014	Samuel Johnson said, "When a man is tired of" this city that contains his only surviving residence, "he is tired of life"	London	At the beginning of World War I, this was the only independent nation in West Africa	Liberia
P015	This heavily populated island was formed by 2 volcanoes: Wainae in the west & Koolau in the east	Oahu	Sir Walter Raleigh fell out of favor with this woman when he married one of her maids of honor	Elizabeth I
P016	On Nov. 5, 1605, Guy Fawkes attempted to blow up this king to avenge persecution of Catholics	James I	An 1865 photo shows the extent of destruction in this capital	Richmond
P017	Bile, which breaks up large molecules of fatty foods, is made by this organ & stored in the gallbladder	liver	Wordsworth called this author's "Candide" a "dull product of a scoffer's pen"	Voltaire
P018	In area, it's the largest country that's entirely in Asia	China	One room of Lisbon's military museum is devoted to this captain who opened a new trade route to India in 1498	da Gama
P019	With his brother Ira, he wrote the songs for the first musical comedy to win a Pulitzer Prize	Gershwin	The name of this country's second- largest paper, Asahi Shimbun, means "The Rising Sun"	Japan
P020	After O, it's the next most common bloodtype among Americans	A	In 1456, 25 years too late, her sentence for heresy was revoked & annulled	Joan of Arc
P021	Flight attendants for Varig Airlines are permanently based in this South American city	Rio de Janeiro	Theodore White's 1975 book "Breach of Faith" tells of "The Fall of" this president	Nixon
