# GENERATED by tools_local/wikipedia/fold_table.py; do not edit.
# input<TAB>expected, one per line; \t \n \r \f \v \\ escape the
# characters they name. Lines starting with # are comments.
Earth	earth
New York City	new york city
Photosynthesis	photosynthesis
List of films: B	list of films: b
C++	c++
AC/DC	ac/dc
Hillary Clinton as Secretary of State	hillary clinton as secretary of state
1980s	1980s
Anti-Catholicism	anti-catholicism
O'Neill	o'neill
Ac	ac
AC	ac
aC	ac
Deaths in April 2026	deaths in april 2026
X-ray	x-ray
Mr. Bean	mr. bean
100% (song)	100% (song)
Q	q
q	q
A	a
The Beatles	the beatles
THE BEATLES	the beatles
the beatles	the beatles
Rock 'n' roll	rock 'n' roll
F.C. Barcelona	f.c. barcelona
S.H.I.E.L.D.	s.h.i.e.l.d.
Bo Diddley (album)	bo diddley (album)
2001: A Space Odyssey	2001: a space odyssey
Hello, World!	hello, world!
K-pop	k-pop
ABBA	abba
iPhone	iphone
eBay	ebay
NASA	nasa
U.S. Route 66	u.s. route 66
Tracey Ullman's State of the Union characters	tracey ullman's state of the union characters
Slam dunk	slam dunk
Saving Abel	saving abel
Yascha Mounk	yascha mounk
Zzyzx, California	zzyzx, california
New_York_City	new york city
List_of_films:_B	list of films: b
__leading	leading
trailing__	trailing
a__b	a b
_	
__	
a_	a
_a	a
one_two_three	one two three
New York_City	new york city
Mr._Bean	mr. bean
  New York	new york
New York  	new york
New  York	new york
New   York   City	new york city
 	
  	
	
\tTabbed\tTitle\t	tabbed title
Line\nbreak	line break
Carriage\rreturn	carriage return
Form\ffeed	form feed
Vertical\vtab	vertical tab
 _ _ _ 	
A _ B	a b
\t_\t	
Mágico González	magico gonzalez
Łatwogang	łatwogang
Senate district 56 – Břeclav	senate district 56 – breclav
Jan Małachowski (Grand Chancellor of the Crown)	jan małachowski (grand chancellor of the crown)
École normale supérieure	ecole normale superieure
Ærø	ærø
Øresund	øresund
Đà Nẵng	đa nẵng
Straße	straße
STRASSE	strasse
Ångström	angstrom
Çatalhöyük	catalhoyuk
İstanbul	istanbul
Istanbul	istanbul
Ĳssel	issel
IJssel	ijssel
Ñandú	nandu
Þórr	þorr
Ð	ð
ð	ð
ß	ß
Émile Zola	emile zola
émile zola	emile zola
ÉMILE ZOLA	emile zola
Kraków	krakow
Kraków_Old_Town	krakow old town
Zürich	zurich
Zurich	zurich
Ōkuma Shigenobu	okuma shigenobu
São Paulo	sao paulo
Sao Paulo	sao paulo
Tōkyō	tokyo
Đorđe	đorđe
Ǆ	d
ǆ	d
Ǉubljana	lubljana
Ŀ	l
ŉ	ʼ
Ħal Tarxien	ħal tarxien
Ŧ	ŧ
ơ	o
Ơ	o
Ư	u
ư	u
Ǝ	ǝ
ƒ	ƒ
Ɔ	ɔ
Ǻ	a
Ǽ	æ
Ǿ	ø
ȷ	ȷ
Ȼ	ȼ
ɏ	ɏ
Ω	ω
ω	ω
Ωμέγα	ωμεγα
Αθήνα	αθηνα
ΑΘΗΝΑ	αθηνα
Οδυσσεύς	οδυσσευσ
ς	σ
σ	σ
Σ	σ
Ελληνικά	ελληνικα
Ἀθῆναι	Ἀθῆναι
ϴ	θ
ϑ	θ
ϒ	υ
ϰ	κ
ΐ	ι
ΰ	υ
Ά	α
ά	α
Έ	ε
Greek: Ελλάδα	greek: ελλαδα
ΆΈΉΊΌΎΏ	αεηιουω
άέήίόύώ	αεηιουω
Москва	москва
МОСКВА	москва
москва	москва
Ёлка	елка
ёлка	елка
Йорк	иорк
йорк	иорк
Ѐ	е
Ї	і
Київ	киів
Санкт-Петербург	санкт-петербург
Ђ	ђ
ђ	ђ
Љ	љ
Њ	њ
Џ	џ
Ӑ	а
ӑ	а
Ӓ	а
Ӝ	ж
Ұ	ұ
Ғ	ғ
Қ	қ
Ө	ө
Ү	ү
Һ	һ
Ә	ә
Ӏ	ӏ
Ѣ	ѣ
ѣ	ѣ
Ѫ	ѫ
Russian: Россия	russian: россия
Война и мир	воина и мир
ВОЙНА И МИР	воина и мир
東京	東京
叔叔	叔叔
日本語	日本語
Tokyo (東京)	tokyo (東京)
한국어	한국어
עברית	עברית
العربية	العربية
हिन्दी	हिन्दी
ไทย	ไทย
Ελληνικά and 日本語	ελληνικα and 日本語
Ａｂｃ	Ａｂｃ
Ⅻ	Ⅻ
ǅ日本	d日本
ﬁ	ﬁ
ẞ	ẞ
ẞ and ß	ẞ and ß
Ḃ	Ḃ
ḃ	ḃ
Ẽ	Ẽ
ᴀ	ᴀ
ⓐ	ⓐ
Ⓐ	Ⓐ
Ａ	Ａ
🙂	🙂
Ａ_Ｂ	Ａ Ｂ
北京_市	北京 市
中文 維基百科	中文 維基百科
ǅ	d
Ａ  Ｂ	Ａ Ｂ
AbC_DeF  ГдЕ  ΘιΚ  日本	abc def где θικ 日本
  _É_  	e
É	e
É_	e
_É	e
é_É	e e
  Ω  Ω  	ω ω
 NBSP kept	 nbsp kept
A B	a b
en dash – kept	en dash – kept
Q-tip	q-tip
x_y-z	x y-z
THETA_語ع글_ȃӁ_eta_THETA	theta 語ع글 aж eta theta
їĂЊ_Џś_日한_ǟ_ƓÐ	іaњ џs 日한 a ɠð
delta_ƔӱѷƐ_글	delta ɣуѵɛ 글
THETA ΨǫҲ beta	theta ψoҳ beta
GAMMA	gamma
ѾќΨ	ѿкψ
Alpha_ǽӇÎ_ќͿ	alpha æӈi кϳ
Epsilon	epsilon
ӥēȔĉ	иeuc
日本zeta	日本zeta
Alpha_Ļ_ _ 	alpha l
Epsilon Alpha	epsilon alpha
zeta	zeta
éϪӺΟ_語	eϫӻο 語
語글日_zeta_ЪĹ_beta_ЎϑϚ	語글日 zeta ъl beta уθϛ
eta_ǑӯƳΛ_Alpha_Epsilon	eta oуƴλ alpha epsilon
EpsilonҶAlpha	epsilonҷalpha
ǊŭϔѤãŃGAMMA本本日Ą	nuυѥangamma本本日a
zeta ÈГȋ ȎŽ 語글ع Epsilon	zeta eгi oz 語글ع epsilon
ІѬ	іѭ
õÝǈИĴEpsilon	oylиjepsilon
\tȄȔŸíƎǌȧѺɅӼ	euyiǝnaѻʌӽ
GAMMA ǭƜ بب日 ӴУѸ ӳưĄ	gamma oɯ بب日 чуѹ уua
beta zeta    _	beta zeta
ϽØ\tќÃĝEpsilon	ͻø кagepsilon
_ zeta THETA	zeta theta
beta eta ӔГŊƷ delta 日한京	beta eta ӕгŋʒ delta 日한京
eta	eta
ĭ_京本	i 京本
   ӟЖȉ	зжi
THETA ĴǇƟǾ _	theta jlɵø
Ï ϿЊǚ	i ͽњu
îȫƮā_Ƚ	ioʈa ƚ
ɌШΙΎ_GAMMA_ưÚϒ_ʹϴ	ɍшιυ gamma uuυ ʹθ
THETA ب delta	theta ب delta
zetabetaņќǊҶΉEpsilon	zetabetanкnҷηepsilon
GAMMAetaĀţGAMMA	gammaetaatgamma
deltaetaAlpha	deltaetaalpha
ЈȔ Ѯӯ beta ġŝ	јu ѯу beta gs
ع글	ع글
GAMMA_GAMMA_ĲЪМț	gamma gamma iъмt
Epsilon_ЍϾ_\t	epsilon иͼ
ӰӾĎ_  _Ū_Ĉ	уӿd u c
Ϥ ёȞüҢ	ϥ еhuң
ΚȳƔ_delta_ϞǛŝÉ	κyɣ delta ϟuse
한ب GAMMA Epsilon ǭŤȔ Эë	한ب gamma epsilon otu эe
