# Verdicts by one judge (Claude, this session), recorded from pairs_blind.tsv
# BEFORE key.tsv was opened. The letter is the clue judged HARDER: the one
# FEWER of ten groups of four ordinary internationally-mixed adults would
# answer aloud in 20 seconds with no options -- rate_local.SCALE_INTL's question.
# TIE means the judge could not separate them, and is scored as a non-agreement,
# never dropped from the denominator.
# conf is the judge's own confidence at the time of writing, not a measurement.
pair	harder	conf
P001	A	high
P002	A	low
P003	B	low
P004	A	high
P005	A	high
P006	B	med
P007	A	high
P008	B	low
P009	B	med
P010	B	high
P011	B	high
P012	A	med
P013	B	med
P014	B	med
P015	A	med
P016	B	med
P017	B	med
P018	B	low
P019	A	high
P020	A	low
P021	A	med
P022	A	low
P023	B	med
P024	A	low
P025	A	high
P026	TIE	low
P027	A	med
P028	A	low
P029	B	med
P030	B	low
P031	A	med
P032	B	high
P033	B	med
P034	B	med
P035	B	high
P036	A	high
P037	B	med
P038	B	low
P039	B	med
P040	B	med
P041	A	high
P042	B	low
P043	B	high
P044	A	high
P045	A	high
P046	B	low
P047	A	med
P048	B	high
P049	A	med
P050	B	low
P051	B	high
P052	A	high
P053	B	high
P054	A	med
P055	A	high
P056	A	med
P057	A	high
P058	A	med
P059	A	high
P060	B	high
P061	B	high
P062	TIE	low
P063	A	low
P064	A	high
P065	A	high
P066	B	high
P067	A	high
P068	B	low
P069	B	high
P070	B	med
P071	B	med
P072	B	high
P073	B	low
P074	A	high
P075	B	med
P076	A	high
P077	A	med
P078	B	high
P079	B	high
P080	A	med
P081	B	high
P082	A	high
P083	B	med
P084	A	low
P085	A	high
P086	A	high
P087	B	high
P088	B	med
P089	B	high
P090	B	high
