# Do not open before a verdict file exists.
pair	band	A_id	A_r	A_level	A_topic	B_id	B_r	B_level	B_topic	rater_says_harder
P001	wide	484cf4949932	1	5	history	421ae7f34ab9	10	1	geography	A
P002	narrow	b430c899bf9d	10	1	animal	c9580043f69f	8	2	religion	B
P003	wide	86b485910050	10	1	food	65abdd89729a	3	4	history	B
P004	mid	7a26dd39f0e0	3	4	literature	1cd3ecbb73e6	7	2	geography	A
P005	narrow	d6011fefcc8d	3	4	literature	aab283b77ead	6	3	geography	A
P006	narrow	b849d1d3ac62	10	1	animals	aa13bfaab696	7	2	mythology	B
P007	mid	bd0ae75d8bfa	3	4	geography	908b97015f86	8	2	geography	A
P008	mid	c162904b0ed0	10	1	mathematics	5004532142ba	6	3	science	B
P009	wide	f79c36c34ce5	9	1	mythology	4906ed7e3722	2	5	literature	B
P010	wide	d2b18a018862	7	2	literature	2784502b7382	1	5	literature	B
P011	wide	fdf4f539262e	6	3	literature	8b005a370bc9	0	5	literature	B
P012	narrow	80386b2db71d	6	3	history	c02992f1ce6a	9	1	geography	A
P013	narrow	7c0c2ff7c4b7	3	4	literature	d59f814ff1ed	0	5	literature	B
P014	mid	72eaf85ee5fd	9	1	literature	52c8b86a41d4	4	4	history	B
P015	narrow	f9ed0077ce3e	2	5	geography	a670fb4fe6fc	5	3	history	A
P016	narrow	179ceaeae5ae	6	3	history	80cb4f9fcc07	4	4	history	B
P017	mid	860f2d27e445	10	1	anatomy	df25a77a9032	6	3	literature	B
P018	mid	267c6c1dc779	9	1	geography	b80950c6ee30	4	4	history	B
P019	wide	22a653e740c1	2	5	music	108a92b075e6	9	1	geography	A
P020	narrow	0842c295341b	9	1	science	57c2e6874933	7	2	history	B
P021	narrow	8c650d77dfcf	6	3	geography	ba08f738b207	4	4	politics	B
P022	narrow	cbb7f6a50143	3	4	music	a2d584c4834b	0	5	history	B
P023	narrow	2f27725b485b	4	4	geography	daac6a5238bf	1	5	history	B
P024	narrow	dcacc859c8b1	6	3	history	57ae8478361d	9	1	geography	A
P025	mid	4ad5963e9160	1	5	literature	237c60605df8	6	3	literature	A
P026	narrow	bba65bbd768c	5	3	technology	9245a2fa1634	8	2	geography	A
P027	mid	18aa6575f587	9	1	sports	24755514de3b	5	3	literature	B
P028	narrow	fff3ced79a73	10	1	science	dd809b87004d	8	2	geography	B
P029	wide	b9303148bb26	6	3	music	154fc2e314be	0	5	business	B
P030	wide	1ee1ad84d91e	0	5	history	aee65870646b	8	2	geography	A
P031	narrow	0889099aaac2	8	2	geography	82257bb5f7c2	10	1	language	A
P032	mid	90711a0229e0	5	3	music	36f39eca0394	1	5	literature	B
P033	mid	e24706866cdd	6	3	literature	829ea9d9996b	1	5	history	B
P034	mid	cd34b46da420	6	3	sports	a1ced64351e7	2	5	literature	B
P035	wide	b158d6851490	9	1	mathematics	f70be43c1c4f	0	5	geography	B
P036	wide	c20b41dfca76	1	5	history	8c12cbd1eba8	8	2	customs	A
P037	mid	a48bf2f7cf87	6	3	music	0323a35023a9	2	5	history	B
P038	wide	b4971a555095	6	3	history	de85bc3dfa98	0	5	advertising	B
P039	mid	77f0187d175d	7	2	history	0a434205ae2e	2	5	literature	B
P040	wide	458bfb903df4	7	2	politics	b8c906e820d4	1	5	literature	B
P041	wide	b5a0dce53dda	2	5	history	ecc6e7a772e9	8	2	sports	A
P042	mid	437e3cbf1d04	2	5	geography	46a9a7cdbade	6	3	geography	A
P043	wide	af7e811feaf2	8	2	geography	7d550c2770dd	2	5	literature	B
P044	mid	e84415d556c8	2	5	film	07876d529033	7	2	politics	A
P045	mid	2f1f1af3f1ec	1	5	literature	7cd3d539215d	6	3	history	A
P046	mid	e35c85a85129	6	3	space	0c5d4e30e84a	2	5	literature	B
P047	wide	fba5677aa526	0	5	history	c0567401797a	9	1	business	A
P048	wide	c563db392ae5	10	1	mythology	5d47f17ed2c2	3	4	history	B
P049	narrow	f81fd6f1c9bf	2	5	television	860ecb6b4833	5	3	literature	A
P050	mid	40a6e5b4e85c	7	2	history	208fed4230b2	3	4	geography	B
P051	narrow	a338aef5f007	3	4	history	7b6f77da4e80	1	5	literature	B
P052	wide	31d39fc79490	0	5	history	c9921ffada34	7	2	geography	A
P053	mid	6000e6eeb8a6	5	3	geography	c55d23bc2646	0	5	history	B
P054	mid	1c573f576ded	1	5	history	a97962e5ccbd	6	3	history	A
P055	mid	723396c1d10d	4	4	literature	42632f235c67	8	2	cooking	A
P056	mid	516c19696abd	5	3	literature	56fd684e91e8	10	1	clothing	A
P057	narrow	d897c92fb01d	3	4	literature	50b98fb0d7b9	6	3	astronomy	A
P058	narrow	877e0a79baf6	6	3	history	321421b7fc7d	9	1	geography	A
P059	wide	f23b7aa5bf3e	3	4	anthropology	1047a32b1a0a	9	1	language	A
P060	wide	a3a32f50dde0	8	2	technology	e6e1dcb7b115	0	5	literature	B
P061	wide	6b571a39f821	10	1	color	e790f4fc284a	3	4	history	B
P062	narrow	6154bcdb4761	0	5	science	ae2811ab6e24	3	4	geography	A
P063	narrow	9442693b846a	8	2	literature	bd1a6a9a138f	6	3	politics	B
P064	wide	ce27961d1471	4	4	history	544440ed1c2a	10	1	anatomy	A
P065	mid	47207f68f901	3	4	architecture	f677eb73b4dd	7	2	history	A
P066	wide	df25f4ff4a5c	8	2	geography	8832e7a1196b	1	5	politics	B
P067	wide	bed843782eae	1	5	history	fabb59de7949	8	2	music	A
P068	narrow	2b9b55655d9c	4	4	history	cd3d4d3d36de	7	2	astronomy	A
P069	wide	cf1dd30cf482	9	1	history	5209f8449932	1	5	literature	B
P070	wide	7514b7560519	7	2	geography	898d792a13f8	0	5	geography	B
P071	narrow	9cb14208b744	7	2	language	762930c214e4	9	1	biology	A
P072	narrow	07cd46f4b721	10	1	religion	cb8bed5923a0	7	2	food	B
P073	narrow	0b01403f3de0	4	4	literature	6151c7dbf0d9	6	3	literature	A
P074	mid	07e763864285	4	4	geography	d3987009be68	8	2	history	A
P075	mid	d8b58d01fa62	8	2	history	410fb6367059	4	4	film	B
P076	wide	2fb7261a342f	1	5	history	ceaf84bca18e	10	1	trivia	A
P077	narrow	f30577f8e69b	2	5	literature	fc43f906fd8c	4	4	history	A
P078	mid	5f277f17c688	6	3	olympics	9cb4694572dd	1	5	history	B
P079	wide	68600b3cea4f	9	1	history	a0faad47b71d	2	5	history	B
P080	narrow	6272335c8c42	4	4	literature	432f3ae59bdf	2	5	history	B
P081	wide	53a578f40ee7	9	1	history	0776d185fb33	2	5	literature	B
P082	wide	936597a96bac	0	5	literature	dcb7c7b20ef8	10	1	language	A
P083	narrow	0edb91b29416	5	3	history	0bd130f4645e	7	2	geography	A
P084	mid	33c684cbf826	0	5	automobiles	e135ddc1bd18	5	3	history	A
P085	mid	d3c46110ca72	9	1	architecture	a7fdbe69d27d	5	3	geography	B
P086	narrow	c5394939cd85	2	5	literature	40264fb773c0	5	3	medicine	A
P087	mid	e37863fa72e4	5	3	mythology	728ab6dd5875	1	5	literature	B
P088	narrow	b91429dd0402	5	3	language	a790f85bfb41	3	4	architecture	B
P089	mid	3d8519ba613b	9	1	religion	308bd92de28e	4	4	literature	B
P090	wide	a1798877044c	9	1	film	1ef9f70ec552	3	4	literature	B
