CHARMING | ANNOYING
UNDERRATED | OVERRATED
FORGIVABLE | UNFORGIVABLE
PROUD OF IT | SECRET SHAME
COOL | CRINGE
CLASSY | TACKY
NORMAL | WEIRD
POLITE | RUDE
EXCITING | DULL
GROWN-UP | CHILDISH
EFFICIENT | LAZY
CONFIDENT | ARROGANT
THRIFTY | STINGY
GENEROUS | SHOWING OFF
BRAVE | RECKLESS
CAUTIOUS | PARANOID
QUIRKY | UNHINGED
SELF-CARE | SELFISH
HEALTHY | JOYLESS
TRADITION | OUTDATED
ROMANTIC | CREEPY
FRIENDLY | FLIRTING
FUNNY | MEAN
HONEST | TACTLESS
SMART | SMUG
DEDICATED | OBSESSED
AMBITIOUS | RUTHLESS
LOYAL | DOORMAT
DEEP | PRETENTIOUS
CLASSIC | DATED
COSY | STUFFY
MINIMAL | EMPTY
LIVED IN | MESSY
TIDY | STERILE
SPONTANEOUS | CHAOTIC
ORGANISED | RIGID
RELAXED | SLOPPY
MEAL | SNACK
BREAKFAST | DESSERT
WORTH IT | RIP-OFF
BARGAIN | CHEAP JUNK
NECESSITY | LUXURY
REAL TALK | SMALL TALK
BEST FRIEND | ACQUAINTANCE
DATE | HANGOUT
INNOCENT | UNFAITHFUL
MISTAKE | CRIME
WHITE LIE | BETRAYAL
GREEN FLAG | RED FLAG
CUTE | THE ICK
EFFORT | TRY-HARD
HELPFUL | INVASIVE
PRIVATE | SECRETIVE
ADVENTURE | ORDEAL
AUTHENTIC | TOURIST TRAP
TRAVELLER | TOURIST
CAREER | JUST A JOB
PASSION | PAYCHECK
MUSIC | NOISE
ART | VANDALISM
SPORT | GAME
COOKING | ASSEMBLING
READING | CHEATING
WORKOUT | STROLL
WORKING | AVOIDING
EMERGENCY | CAN WAIT
SKILL | LUCK
TALENT | PRACTICE
FACT | OPINION
SCIENCE | SUPERSTITION
PLAUSIBLE | TINFOIL HAT
BODY ART | REGRET
TIMELESS | FAD
TIME SAVER | TIME SINK
SHARING | BRAGGING
VENTING | MOANING
CURIOUS | NOSY
RESEARCH | STALKING
COMPLIMENT | INSULT
ADVICE | LECTURE
HELPING | MEDDLING
CARING | CONTROLLING
PRINCIPLED | STUBBORN
EASY-GOING | PUSHOVER
COLLECTION | HOARDING
HOBBY | LIFESTYLE
PARTY | GATHERING
FRESH AIR | FREEZING
TREAT | PROBLEM
DREAM | DELUSION
SENSIBLE | GIVING UP
OPTIMISTIC | NAIVE
REALIST | PESSIMIST
RELAXING | BORING
FUN | TERRIFYING
PLAYFUL | AWKWARD
STILL EDIBLE | THROW IT OUT
WEARABLE | GROSS
THOUGHTFUL | LAST MINUTE
FAIR SHARE | FREELOADING
JUSTIFIED | PETTY
RULE | SUGGESTION
GOOD DRIVER | MANIAC
KEEN | DESPERATE
NATURAL | FAKE
SINCERE | PERFORMANCE
SPICY | PAINFUL
DELICIOUS | DISGUSTING
VINTAGE | JUNK
RUSTIC | BROKEN
LEADER | BOSSY
FEEDBACK | ATTACK
SWEET | GET A ROOM
REST | WASTED DAY
MAINSTREAM | NICHE
STYLISH | PRACTICAL
HARMLESS JOKE | TOO FAR
MEMORABLE | FORGETTABLE
PET PEEVE | DEAL BREAKER
COFFEE | MILKSHAKE
