# id	rating	judges
# INTERNATIONAL scale, one local judge. NOT the same scale as
# difficulty.tsv; see export_enriched.py before merging them.
000c504a053e	7.00	1
000f34a0ed1f	4.00	1
0016693534d7	5.00	1
001e58eb81e1	9.00	1
002993d8b130	7.00	1
0029b67289f3	5.00	1
003744b54c56	3.00	1
005011b49e80	9.00	1
006c3ea083a9	1.00	1
006eacb8f226	8.00	1
006ef69b09b5	0.00	1
0079ef54959e	3.00	1
007cfb8122d5	10.00	1
007f17e03d01	5.00	1
0084d3d114e3	7.00	1
0085b67458e7	4.00	1
00877f55efe7	1.00	1
008e3a4a52b3	4.00	1
009157e7cd87	5.00	1
0099e3dee3e8	1.00	1
009baa0e5c50	9.00	1
009eb90edfee	4.00	1
00a204ad549b	7.00	1
00a56ea4ed12	9.00	1
00ad048834a0	2.00	1
00b261848a5d	1.00	1
00cc104d73c3	6.00	1
00d50cb959ca	0.00	1
00d7f27ace87	3.00	1
00e729356533	1.00	1
00ec61f2ec79	9.00	1
00ec8a649750	8.00	1
00f85e44a80e	2.00	1
0102225d5a20	7.00	1
010b5a33dab4	5.00	1
0115f8ebc1b8	7.00	1
0116c0cdd601	2.00	1
0122aa65fb9e	7.00	1
012e83f56353	3.00	1
012ed1e99c09	1.00	1
01316cbd2b80	9.00	1
0132d77c2911	9.00	1
0143e2055bc8	2.00	1
0146eee58821	6.00	1
01496fd21179	5.00	1
014cf9df8cd4	5.00	1
015185d9be4e	7.00	1
015a31dc0215	8.00	1
015de666beee	9.00	1
0165efbf3c6a	5.00	1
017bde6285ae	6.00	1
017d9c89dc5a	9.00	1
018a973a0977	5.00	1
018be87d629a	2.00	1
0193e0299b04	3.00	1
01a7e4dfd759	5.00	1
01ad2d46c8bb	5.00	1
01b35cc8693b	3.00	1
01b588d27921	7.00	1
01b76ced5be3	8.00	1
01bc9467ff1e	1.00	1
01c0171caa6a	7.00	1
01ccae3e263f	8.00	1
01cda580dd8d	2.00	1
01cde3912928	2.00	1
01e53b073b65	2.00	1
01e864831142	5.00	1
01f0a5a1b5f5	7.00	1
01f3fa21c5e7	6.00	1
01fbc0b6e06f	3.00	1
01fc9fbcbd66	2.00	1
0200ddfe6dcc	7.00	1
02093b9cec62	5.00	1
020b43800fdc	9.00	1
020d6fd20e85	1.00	1
02168bbc5b08	1.00	1
0218058033a4	5.00	1
022c8433b2de	5.00	1
023365b99dde	8.00	1
0233d87c0a8b	8.00	1
023959000a48	7.00	1
023a8e4a22f7	0.00	1
023b58132323	7.00	1
023c6d1e6299	5.00	1
0244d9bb449b	2.00	1
024fb74831d6	5.00	1
0265aa77d6e1	1.00	1
0266ca3207bf	7.00	1
0267363ee739	7.00	1
0267f3c5a61c	5.00	1
026aba6d9b75	3.00	1
0286b47d5b8c	1.00	1
028c12a85102	5.00	1
029d67aa78aa	8.00	1
02a100aa46cb	8.00	1
02b13a1096a2	7.00	1
02c54e5e0c68	2.00	1
02c6df2e4060	5.00	1
02c7eded25a2	9.00	1
02d4ef9b5a51	9.00	1
02deea29452c	2.00	1
02e01f3cea06	3.00	1
02e128f8dcec	4.00	1
02e137558ee9	2.00	1
02fb8656d85c	9.00	1
0302322194fe	5.00	1
031a246c9d54	9.00	1
032549851194	9.00	1
0332ff9bb754	5.00	1
034f18195cff	2.00	1
034f6de920a6	3.00	1
034f9cbb2869	5.00	1
035eee590b67	1.00	1
0362d41a36c2	7.00	1
0371b8f625ff	10.00	1
03745374eeb2	1.00	1
0378d3d330a6	5.00	1
0379f400fb8e	7.00	1
037fc19817cd	2.00	1
0382f368cc08	6.00	1
038a569e63a7	6.00	1
03916071c970	7.00	1
03933e0f3bc1	9.00	1
0395cee52024	5.00	1
03999bc38d62	5.00	1
039ab5193420	5.00	1
03a34783fdb7	8.00	1
03b177ca4c8b	3.00	1
03b2a535f1cc	3.00	1
03b6105a8169	5.00	1
03bb53b95b75	0.00	1
03bd21c3628b	1.00	1
03bf47adf2d8	5.00	1
03cb8f7549b3	4.00	1
03cddde0c7ec	8.00	1
03d8b951e8ed	7.00	1
03dc61cd1ed4	4.00	1
03e10cc59f82	5.00	1
03e2aadb9e24	1.00	1
03e361bd0f47	9.00	1
03e57d245c5d	8.00	1
03e7ad0f14d2	1.00	1
03f5293a6baa	5.00	1
03fec4157592	7.00	1
04003ddc1b2f	7.00	1
040544a7c332	5.00	1
04061df3f3ea	2.00	1
040722a0a6cf	8.00	1
040da6076aaa	4.00	1
040e7872b60b	2.00	1
04101f936229	7.00	1
0417df073960	2.00	1
041bcb9340d6	7.00	1
041c2aff5656	7.00	1
041d8673cf9c	2.00	1
0421b44d97e6	5.00	1
042c81e009b6	6.00	1
043eb2823499	5.00	1
0440f8883792	5.00	1
044438f5d5a6	9.00	1
046ba554fc9e	4.00	1
046c64cf0d63	5.00	1
047172cb567c	8.00	1
04791d8e4cdd	5.00	1
0486b21993ae	9.00	1
048770919c6a	5.00	1
04915a108c72	3.00	1
04923bbe0021	5.00	1
0492f816687f	1.00	1
0498f4fe2ca1	3.00	1
049a5a6ad343	9.00	1
04a2c3659ff2	3.00	1
04cabe2f0d4b	7.00	1
04ce621d6b99	7.00	1
04deeef9f00c	7.00	1
04df21b77bcd	8.00	1
04e20bf43890	5.00	1
04e28a51fb1a	6.00	1
04ebf4cc4f6a	3.00	1
04f175bd9762	6.00	1
04fb07cdf11c	5.00	1
05088394bf31	5.00	1
0515192810e2	5.00	1
0517d426339f	2.00	1
051c70522c9b	1.00	1
052900eaf946	4.00	1
052c3aa2f4fd	1.00	1
0532955471c9	4.00	1
0544e43c8283	9.00	1
054977a8c666	1.00	1
054a8e093a88	2.00	1
054ad6fa4854	7.00	1
054ce7e7b415	0.00	1
0551d47f81c4	8.00	1
055da5864ac4	4.00	1
0560438ac440	9.00	1
056e0ae4df70	8.00	1
0579b58ba814	9.00	1
0579f211e692	1.00	1
057e0abf352c	1.00	1
057ebc803ee8	0.00	1
057faa008a80	6.00	1
05875a190c47	7.00	1
058903f0f0dc	9.00	1
0596e8bee107	2.00	1
05a7d7c99f27	1.00	1
05ab8407aecd	9.00	1
05c1744845df	7.00	1
05c1f28a42fd	5.00	1
05c32677b377	9.00	1
05cdc44468c7	6.00	1
05d0942c4ae3	7.00	1
05d61179b6f8	1.00	1
05d94081e2eb	5.00	1
05db1519b26f	2.00	1
05dee4db44a0	6.00	1
05e3fd12ac82	4.00	1
05ecff65aaeb	4.00	1
05ef347df277	2.00	1
